Accession	Virus Pangolin Classification	Geographic Location	Isolate Collection date	Host Name	Length	Completeness	Release date
OZ087106.1	LB.1.4	United Kingdom:England	2024-06-04	Homo sapiens	29847	COMPLETE	2024-07-10T00:00:00Z
OZ091726.1	KP.3.1.4	United Kingdom:Scotland	2024-06-13	Homo sapiens	29847	COMPLETE	2024-07-10T00:00:00Z
OZ121765.1	KP.3	United Kingdom:England	2024-07-06	Homo sapiens	29865	COMPLETE	2024-07-23T00:00:00Z
PQ034866.1	KP.2.3	USA: Florida	2024-06-28	Homo sapiens	29687	COMPLETE	2024-07-16T00:00:00Z
PQ118781.1	KP.3.3.3	USA: New Mexico	2024-06-13	Homo sapiens	29706	COMPLETE	2024-07-31T00:00:00Z
OZ199206.1	unclassifiable	United Kingdom:Northern_Ireland	2024-09-14	Homo sapiens	29865	COMPLETE	2024-10-27T00:00:00Z
PQ481707.1	KP.1.1.3	USA	2024-09-11	Homo sapiens	29761	COMPLETE	2024-10-18T00:00:00Z
PP414704.1	JN.1.9	USA: Pennsylvania	2024-02-16	Homo sapiens	29691	COMPLETE	2024-03-01T00:00:00Z
PP473397.1	JN.1	USA: Rhode Island	2024-02-22	Homo sapiens	29687	COMPLETE	2024-03-12T00:00:00Z
OZ289546.1	B.1.1.7	Germany:Northrhine Westphalia; Duesseldorf metropolitan area	2021-02-25	Homo sapiens	29884	COMPLETE	2025-07-31T00:00:00Z
OZ389998.1	XFG.8	United Kingdom:Scotland	2025-12-09	Homo sapiens	29848	COMPLETE	2026-01-10T00:00:00Z
OQ578937.1	BQ.1.1	USA: California	2023-02-18	Homo sapiens	29718	COMPLETE	2023-03-06T00:00:00Z
OQ618527.1	BA.1.1	Thailand: Bangkok	2022-01-14	Homo sapiens	29630	COMPLETE	2023-03-14T00:00:00Z
OX444963.1	B.1.177	Germany:Mecklenburg?West Pomerania	2021-02-02	Homo sapiens	29903	COMPLETE	2023-03-10T00:00:00Z
OX456409.1	XBB.1.5.12	Slovakia	2023-02-20	Homo sapiens	29847	COMPLETE	2023-03-22T00:00:00Z
PV549885.1	NY.11.1	USA: New York	2025-04-10	Homo sapiens	29687	COMPLETE	2025-04-22T00:00:00Z
OZ072257.1	BA.4.1	Argentina:Mendoza	2022-07-20	Homo sapiens	29831	COMPLETE	2024-06-01T00:00:00Z
ON645412.1	AY.4	USA: FL	2022-01-14	Homo sapiens	29810	COMPLETE	2022-06-01T00:00:00Z
ON657785.1	BA.2.3	USA: Washington	2022-05-18	Homo sapiens	29693	COMPLETE	2022-06-02T00:00:00Z
ON676616.1	BA.1.1	USA: FL	2022-01-24	Homo sapiens	29684	COMPLETE	2022-06-06T00:00:00Z
ON691120.1	BA.2.12.1	USA: Texas	2022-05-14	Homo sapiens	29724	COMPLETE	2022-06-06T00:00:00Z
ON702494.1	BA.2.12.1	USA: California	2022-05-17	Homo sapiens	29727	COMPLETE	2022-06-07T00:00:00Z
ON717642.1	BF.8	USA: California	2022-05-27	Homo sapiens	29844	COMPLETE	2022-06-09T00:00:00Z
ON731036.1	BA.2.12.1	USA: Florida	2022-05-18	Homo sapiens	29724	COMPLETE	2022-06-10T00:00:00Z
ON740411.1	BA.4.1	USA: Georgia	2022-05-28	Homo sapiens	29709	COMPLETE	2022-06-12T00:00:00Z
ON759940.1	BA.2	USA: Illinois	2022-05-26	Homo sapiens	29724	COMPLETE	2022-06-14T00:00:00Z
ON770159.1	BA.2.12.1	USA: North Carolina	2022-05-29	Homo sapiens	29727	COMPLETE	2022-06-15T00:00:00Z
ON787066.1	BA.2.23.1	USA	2022-05-25	Homo sapiens	29758	COMPLETE	2022-06-17T00:00:00Z
ON800654.1	BA.2.12.1	USA	2022-05-29	Homo sapiens	29749	COMPLETE	2022-06-21T00:00:00Z
ON826323.1	BE.1.4	USA: New York	2022-06-09	Homo sapiens	29655	COMPLETE	2022-06-23T00:00:00Z
ON837043.1	BA.5.2.21	USA: Texas	2022-06-13	Homo sapiens	29842	COMPLETE	2022-06-24T00:00:00Z
ON852836.1	BA.4.1	USA: Florida	2022-06-11	Homo sapiens	29833	COMPLETE	2022-06-27T00:00:00Z
ON874124.1	BA.2.12.1	USA: Missouri	2022-06-07	Homo sapiens	29724	COMPLETE	2022-06-29T00:00:00Z
ON884727.1	BA.5.2.1	USA: New York	2022-06-15	Homo sapiens	29721	COMPLETE	2022-06-30T00:00:00Z
OX071261.1	BA.2	United Kingdom:England	2022-03-17	Homo sapiens	29838	COMPLETE	2022-06-15T00:00:00Z
OX075915.1	BA.2	United Kingdom:England	2022-01-30	Homo sapiens	29850	COMPLETE	2022-06-15T00:00:00Z
OX079984.1	unclassifiable	United Kingdom:England	2022-01-09	Homo sapiens	29882	COMPLETE	2022-06-15T00:00:00Z
OX083775.1	BA.1.1	United Kingdom:Scotland	2022-02-28	Homo sapiens	29874	COMPLETE	2022-06-15T00:00:00Z
OX089214.1	BA.1.1.14	United Kingdom:Scotland	2022-01-14	Homo sapiens	29873	COMPLETE	2022-06-15T00:00:00Z
OL709561.1	B.1.311	USA: South Carolina, Clemson	2021-01-20	Homo sapiens	29782	COMPLETE	2021-12-03T00:00:00Z
OL720574.1	AY.44	USA: Colorado	2021-11-22	Homo sapiens	29812	COMPLETE	2021-12-05T00:00:00Z
OL728795.1	AY.25	USA: Indiana	2021-11-19	Homo sapiens	29888	COMPLETE	2021-12-06T00:00:00Z
OL735150.1	AY.3	USA: Massachusetts	2021-11-12	Homo sapiens	29767	COMPLETE	2021-12-06T00:00:00Z
OL747293.1	AY.103	USA	2021-10-26	Homo sapiens	29769	COMPLETE	2021-12-07T00:00:00Z
OL751416.1	AY.3	USA: Illinois	2021-11-23	Homo sapiens	29811	COMPLETE	2021-12-07T00:00:00Z
OL765098.1	AY.44	USA: MT	2021-11-03	Homo sapiens	29836	COMPLETE	2021-12-08T00:00:00Z
OL778289.1	AY.100	USA: Colorado	2021-11-09	Homo sapiens	29787	COMPLETE	2021-12-09T00:00:00Z
OL785706.1	AY.44	USA: California	2021-11-30	Homo sapiens	29812	COMPLETE	2021-12-09T00:00:00Z
OL805037.1	AY.25	USA: Texas	2021-11-26	Homo sapiens	29859	COMPLETE	2021-12-10T00:00:00Z
OL821004.1	AY.44	USA: California	2021-12-02	Homo sapiens	29803	COMPLETE	2021-12-11T00:00:00Z
OL828151.1	AY.103	USA: Colorado	2021-11-12	Homo sapiens	29787	COMPLETE	2021-12-13T00:00:00Z
OL837824.1	AY.98.1	USA: New Jersey	2021-11-26	Homo sapiens	29734	COMPLETE	2021-12-14T00:00:00Z
OL860224.1	AY.100	USA: Texas	2021-11-19	Homo sapiens	29809	COMPLETE	2021-12-15T00:00:00Z
OL875822.1	AY.39	USA: California	2021-12-06	Homo sapiens	29800	COMPLETE	2021-12-16T00:00:00Z
OL885681.1	AY.44	USA: Illinois	2021-11-13	Homo sapiens	29812	COMPLETE	2021-12-17T00:00:00Z
OL890067.1	AY.3	USA: Massachusetts	2021-12-03	Homo sapiens	29869	COMPLETE	2021-12-17T00:00:00Z
OL907808.1	AY.103	USA: North Carolina	2021-11-18	Homo sapiens	29787	COMPLETE	2021-12-18T00:00:00Z
OL921762.1	AY.100	USA: Wisconsin	2021-11-10	Homo sapiens	29811	COMPLETE	2021-12-20T00:00:00Z
OL927576.1	AY.3	USA: Massachusetts	2021-11-22	Homo sapiens	29803	COMPLETE	2021-12-20T00:00:00Z
OL934121.1	AY.119	USA: Georgia	2021-12-09	Homo sapiens	29890	COMPLETE	2021-12-20T00:00:00Z
OL947176.1	AY.43	USA: New Jersey	2021-11-05	Homo sapiens	29810	COMPLETE	2021-12-20T00:00:00Z
OL955740.1	AY.103	USA	2021-12-09	Homo sapiens	29808	COMPLETE	2021-12-20T00:00:00Z
OL968366.1	AY.39	USA: South Dakota	2021-11-30	Homo sapiens	29810	COMPLETE	2021-12-23T00:00:00Z
OL981176.1	B.1.36.27	Hong Kong	2021	Homo sapiens	29895	COMPLETE	2021-12-22T00:00:00Z
OL993872.1	AY.25.1	USA: New Jersey	2021-12-08	Homo sapiens	29703	COMPLETE	2021-12-23T00:00:00Z
OM007120.1	AY.44	USA: Connecticut	2021-12-04	Homo sapiens	29638	COMPLETE	2021-12-24T00:00:00Z
OM015926.1	BA.1.15	USA: Florida	2021-12-12	Homo sapiens	29786	COMPLETE	2021-12-25T00:00:00Z
OM024684.1	AY.3	USA: Colorado	2021-11-29	Homo sapiens	29784	COMPLETE	2021-12-27T00:00:00Z
OM036935.1	AY.44	USA: Michigan	2021-12-14	Homo sapiens	29816	COMPLETE	2021-12-28T00:00:00Z
OM047355.1	AY.25	USA	2021-09-17	Homo sapiens	29769	COMPLETE	2021-12-28T00:00:00Z
OM054026.1	BA.1.15	USA: Texas	2021-12-11	Homo sapiens	29871	COMPLETE	2021-12-29T00:00:00Z
OM074344.1	BA.1.1.18	USA: Georgia	2021-12-16	Homo sapiens	29770	COMPLETE	2021-12-31T00:00:00Z
OM081525.1	AY.25	USA: Minnesota	2021-12-13	Homo sapiens	29805	COMPLETE	2021-12-31T00:00:00Z
OV121780.1	AY.4	United Kingdom:England	2021-02-04	Homo sapiens	29890	COMPLETE	2021-12-05T00:00:00Z
OV198059.1	AY.4	United Kingdom:England	2020	Homo sapiens	29890	COMPLETE	2021-12-15T00:00:00Z
OR276725.1	AY.43	France	2021-11	Homo sapiens	29689	COMPLETE	2023-07-17T00:00:00Z
OR302453.1	B.1.609	USA	2020-10-07	Homo sapiens	29820	COMPLETE	2023-07-20T00:00:00Z
OR308775.1	B.1.2	USA	2020-10-18	Homo sapiens	29827	COMPLETE	2023-07-20T00:00:00Z
OR318470.1	B.1.2	USA	2021-01-27	Homo sapiens	29826	COMPLETE	2023-07-20T00:00:00Z
OR325304.1	BA.2	France	2022-06	Homo sapiens	29674	COMPLETE	2023-07-20T00:00:00Z
OY290070.1	XBB.1.5.37	United Kingdom:England	2023-04-30	Homo sapiens	29894	COMPLETE	2023-07-15T00:00:00Z
OY295403.1	BA.2	United Kingdom:England	2022-05-02	Homo sapiens	29850	COMPLETE	2023-07-17T00:00:00Z
OY299520.1	XBB.1.11.1	United Kingdom:England	2023-05-30	Homo sapiens	29859	COMPLETE	2023-07-17T00:00:00Z
OY304919.1	BA.2	United Kingdom:England	2022-03-21	Homo sapiens	29850	COMPLETE	2023-07-17T00:00:00Z
OY308969.1	BA.5.2.1	United Kingdom:England	2022-08-09	Homo sapiens	29844	COMPLETE	2023-07-17T00:00:00Z
OY312413.1	unclassifiable	United Kingdom:England	2021-08-27	Homo sapiens	29896	COMPLETE	2023-07-17T00:00:00Z
OY315610.1	BA.1.17.2	United Kingdom:England	2021-12-29	Homo sapiens	29873	COMPLETE	2023-07-17T00:00:00Z
OY320276.1	AY.4.2.2	United Kingdom:England	2021-11-14	Homo sapiens	29890	COMPLETE	2023-07-18T00:00:00Z
OY323572.1	BA.2	United Kingdom:England	2022-04-15	Homo sapiens	29850	COMPLETE	2023-07-18T00:00:00Z
OY328416.1	BA.5.1	United Kingdom:England	2022-06-21	Homo sapiens	29844	COMPLETE	2023-07-18T00:00:00Z
OY333650.1	BA.5	United Kingdom:England	2022-06-26	Homo sapiens	29844	COMPLETE	2023-07-18T00:00:00Z
OY337819.1	BA.5.1.5	United Kingdom:England	2022-09-13	Homo sapiens	29876	COMPLETE	2023-07-18T00:00:00Z
OY344076.1	B.1.1.7	United Kingdom:England	2021-02-11	Homo sapiens	29884	COMPLETE	2023-07-19T00:00:00Z
OY348677.1	AY.122	United Kingdom:England	2021-09-28	Homo sapiens	29890	COMPLETE	2023-07-19T00:00:00Z
OY352204.1	AY.46.5	United Kingdom:England	2020	Homo sapiens	29891	COMPLETE	2023-07-19T00:00:00Z
OY357264.1	AY.4.2	United Kingdom:England	2021-10-20	Homo sapiens	29896	COMPLETE	2023-07-19T00:00:00Z
OY361518.1	B.1.177	United Kingdom:England	2020-10-12	Homo sapiens	29903	COMPLETE	2023-07-19T00:00:00Z
OY367273.1	B.1.36	United Kingdom:England	2020-12-02	Homo sapiens	29903	COMPLETE	2023-07-20T00:00:00Z
OY371463.1	AY.4	United Kingdom:England	2021-06-12	Homo sapiens	29896	COMPLETE	2023-07-20T00:00:00Z
OY375336.1	B.1.1	United Kingdom:Scotland	2020-05-05	Homo sapiens	29903	COMPLETE	2023-07-20T00:00:00Z
OY377962.1	AY.98	United Kingdom:Scotland	2021-06-01	Homo sapiens	29890	COMPLETE	2023-07-20T00:00:00Z
OY382586.1	BA.2.12.1	United Kingdom:Scotland	2022-05-24	Homo sapiens	29850	COMPLETE	2023-07-20T00:00:00Z
OY386181.1	BA.5.8	United Kingdom:Scotland	2022-08-14	Homo sapiens	29829	COMPLETE	2023-07-20T00:00:00Z
OY391283.1	AY.4	United Kingdom:Scotland	2021-11-10	Homo sapiens	29890	COMPLETE	2023-07-22T00:00:00Z
OY395192.1	B.1.93	United Kingdom:Scotland	2020-05-17	Homo sapiens	29903	COMPLETE	2023-07-22T00:00:00Z
OY400005.1	BA.2	United Kingdom:Wales	2022-04-23	Homo sapiens	29851	COMPLETE	2023-07-22T00:00:00Z
OY404445.1	BA.1	United Kingdom:Wales	2022-01-05	Homo sapiens	29874	COMPLETE	2023-07-22T00:00:00Z
OY407730.1	AY.4	United Kingdom:Wales	2021-10-26	Homo sapiens	29890	COMPLETE	2023-07-22T00:00:00Z
OY411992.1	BA.1.17.2	United Kingdom:Wales	2021-12-14	Homo sapiens	29873	COMPLETE	2023-07-22T00:00:00Z
OY416760.1	BA.1.1	United Kingdom:Wales	2022-01-23	Homo sapiens	29873	COMPLETE	2023-07-23T00:00:00Z
OY421216.1	BA.1	United Kingdom:Wales	2021-12-27	Homo sapiens	29873	COMPLETE	2023-07-23T00:00:00Z
OY426244.1	BA.1	United Kingdom:Wales	2022-01-30	Homo sapiens	29874	COMPLETE	2023-07-23T00:00:00Z
OY430782.1	BA.1	United Kingdom:Wales	2021-12-17	Homo sapiens	29874	COMPLETE	2023-07-25T00:00:00Z
OY435587.1	AY.4	United Kingdom:Wales	2021-10-20	Homo sapiens	29890	COMPLETE	2023-07-25T00:00:00Z
OY439645.1	AY.4.2	United Kingdom:Wales	2021-10-28	Homo sapiens	29890	COMPLETE	2023-07-25T00:00:00Z
OY444955.1	BA.1	United Kingdom:Wales	2021-12-27	Homo sapiens	29873	COMPLETE	2023-07-25T00:00:00Z
OY448476.1	BA.1.1	United Kingdom:Wales	2022-01-22	Homo sapiens	29874	COMPLETE	2023-07-25T00:00:00Z
OY451808.1	BA.5.3.3	United Kingdom:Wales	2022-07-12	Homo sapiens	29778	COMPLETE	2023-07-25T00:00:00Z
OY455091.1	BA.1	United Kingdom:Wales	2022-02-02	Homo sapiens	29874	COMPLETE	2023-07-25T00:00:00Z
OY458913.1	AY.43	United Kingdom:Wales	2021-08-19	Homo sapiens	29890	COMPLETE	2023-07-25T00:00:00Z
OY463622.1	AY.4	United Kingdom:Wales	2021-11-07	Homo sapiens	29890	COMPLETE	2023-07-25T00:00:00Z
OY468768.1	AY.4	United Kingdom:Wales	2021-10-03	Homo sapiens	29889	COMPLETE	2023-07-25T00:00:00Z
OY473863.1	BA.1.1	United Kingdom:Wales	2022-02-19	Homo sapiens	29873	COMPLETE	2023-07-25T00:00:00Z
OY477544.1	BA.1.16	United Kingdom:Wales	2021-12-28	Homo sapiens	29874	COMPLETE	2023-07-25T00:00:00Z
OY481541.1	BA.1	United Kingdom:Wales	2022-02-12	Homo sapiens	29859	COMPLETE	2023-07-25T00:00:00Z
OY486975.1	AY.43	United Kingdom:England	2021-10-14	Homo sapiens	29890	COMPLETE	2023-07-25T00:00:00Z
OY492542.1	BA.5.2.1	United Kingdom:Wales	2022-12-05	Homo sapiens	29845	COMPLETE	2023-07-26T00:00:00Z
OY497496.1	AY.4	United Kingdom:Wales	2021-09-28	Homo sapiens	29890	COMPLETE	2023-07-26T00:00:00Z
OY501778.1	FL.3.2	United Kingdom:Wales	2023-03-13	Homo sapiens	29848	COMPLETE	2023-07-26T00:00:00Z
OY504859.1	BA.2	United Kingdom:Wales	2022-03-28	Homo sapiens	29850	COMPLETE	2023-07-26T00:00:00Z
OY508965.1	AY.4	United Kingdom:Wales	2021-10-14	Homo sapiens	29890	COMPLETE	2023-07-26T00:00:00Z
OY512415.1	BA.2	United Kingdom:Wales	2022-02-24	Homo sapiens	29851	COMPLETE	2023-07-26T00:00:00Z
OY517404.1	BA.2	United Kingdom:Wales	2022-03-08	Homo sapiens	29850	COMPLETE	2023-07-27T00:00:00Z
OY521938.1	AY.4	United Kingdom:Wales	2021-10-06	Homo sapiens	29890	COMPLETE	2023-07-27T00:00:00Z
OY525582.1	BA.2	United Kingdom:Wales	2022-03-16	Homo sapiens	29835	COMPLETE	2023-07-27T00:00:00Z
OY531084.1	AY.4.3	United Kingdom:Wales	2021-12-07	Homo sapiens	29890	COMPLETE	2023-07-27T00:00:00Z
OY534684.1	AY.4.2.1	United Kingdom:Wales	2021-11-24	Homo sapiens	29890	COMPLETE	2023-07-27T00:00:00Z
OY539473.1	AY.98	United Kingdom:Wales	2021-11-11	Homo sapiens	29890	COMPLETE	2023-07-27T00:00:00Z
OY543710.1	BA.1	United Kingdom:Wales	2022-02-09	Homo sapiens	29873	COMPLETE	2023-07-28T00:00:00Z
OY549035.1	BA.1.16	United Kingdom:Wales	2022-01-12	Homo sapiens	29873	COMPLETE	2023-07-28T00:00:00Z
OY554242.1	AY.4	United Kingdom:Wales	2021-11-09	Homo sapiens	29881	COMPLETE	2023-07-28T00:00:00Z
OY558950.1	AY.4	United Kingdom:Wales	2021-09-12	Homo sapiens	29890	COMPLETE	2023-07-28T00:00:00Z
OY562182.1	BA.1.1.13	United Kingdom:Wales	2021-12-15	Homo sapiens	29873	COMPLETE	2023-07-28T00:00:00Z
OY567145.1	AY.4	United Kingdom:Wales	2021-09-29	Homo sapiens	29890	COMPLETE	2023-07-29T00:00:00Z
OY570997.1	BA.1.1	United Kingdom:Wales	2022-01-17	Homo sapiens	29870	COMPLETE	2023-07-30T00:00:00Z
OY575475.1	AY.4	United Kingdom:Wales	2021-08-16	Homo sapiens	29890	COMPLETE	2023-07-30T00:00:00Z
OY580186.1	AY.4	United Kingdom:Wales	2021-11-28	Homo sapiens	29890	COMPLETE	2023-07-30T00:00:00Z
OY584877.1	AY.4	United Kingdom:England	2021-07-11	Homo sapiens	29891	COMPLETE	2023-07-30T00:00:00Z
OY591494.1	B.1.1.7	United Kingdom:England	2021-02-23	Homo sapiens	29884	COMPLETE	2023-07-30T00:00:00Z
OY594622.1	BA.1	United Kingdom:Wales	2022-01-29	Homo sapiens	29873	COMPLETE	2023-07-30T00:00:00Z
OY599064.1	B.1.1.7	United Kingdom:England	2021-01-08	Homo sapiens	29884	COMPLETE	2023-07-30T00:00:00Z
OY603239.1	B.1.1.7	United Kingdom:England	2021-02-13	Homo sapiens	29884	COMPLETE	2023-07-30T00:00:00Z
OY608725.1	B.1.1.7	United Kingdom:England	2020	Homo sapiens	29884	COMPLETE	2023-07-30T00:00:00Z
OY612684.1	B.1.1.7	United Kingdom:England	2021-01-28	Homo sapiens	29884	COMPLETE	2023-07-30T00:00:00Z
OP565186.1	BA.1	USA: Wisconsin, Brown County	2021-12-30	Homo sapiens	29684	COMPLETE	2022-10-02T00:00:00Z
OP570779.1	BQ.1	USA: New Jersey	2022-09-18	Homo sapiens	29844	COMPLETE	2022-10-03T00:00:00Z
OP582692.1	BA.5.2.1	USA: New Jersey	2022-09-18	Homo sapiens	29625	COMPLETE	2022-10-04T00:00:00Z
OP619135.1	BA.5.2.1	USA: Arizona	2022-09-19	Homo sapiens	29718	COMPLETE	2022-10-12T00:00:00Z
OP651259.1	BF.27	USA: Washington	2022-09-26	Homo sapiens	29669	COMPLETE	2022-10-17T00:00:00Z
OP659861.1	BF.26	USA: Washington	2022-09-26	Homo sapiens	29720	COMPLETE	2022-10-18T00:00:00Z
OP692584.1	BA.2.12.1	USA: Washington,King County	2022-05-16	Homo sapiens	29759	COMPLETE	2022-10-20T00:00:00Z
OP708680.1	BA.5.2.1	USA: Florida	2022-10-09	Homo sapiens	29718	COMPLETE	2022-10-24T00:00:00Z
OP731865.1	BA.4.6	USA: California	2022-09-30	Homo sapiens	29835	COMPLETE	2022-10-27T00:00:00Z
OP742033.1	BQ.1.1	USA: Arizona	2022-10-18	Homo sapiens	29844	COMPLETE	2022-10-31T00:00:00Z
PX667309.1	NB.1.8.1	USA: California	2025-09-23	Homo sapiens	29792	COMPLETE	2025-12-05T00:00:00Z
OZ292043.1	B.1.1.7	Germany:Northrhine Westphalia; Duesseldorf metropolitan area	2021-04-26	Homo sapiens	29884	COMPLETE	2025-08-01T00:00:00Z
OZ298222.1	AY.4	Germany:Northrhine Westphalia; Duesseldorf metropolitan area	2021-09-10	Homo sapiens	29896	COMPLETE	2025-08-07T00:00:00Z
OZ301934.1	AY.129	Germany:Northrhine Westphalia; Duesseldorf metropolitan area	2021-11-30	Homo sapiens	29890	COMPLETE	2025-08-09T00:00:00Z
PX058442.1	B.1.1.519	Mexico: Yucatan, Merida	2020-05-31	Homo sapiens	29749	COMPLETE	2025-08-01T00:00:00Z
MZ704598.1	B.1.526	USA: Puerto Rico	2021-07-02	Homo sapiens	29817	COMPLETE	2021-08-04T00:00:00Z
MZ745745.1	Q.3	USA: California	2021-07-14	Homo sapiens	29812	COMPLETE	2021-08-10T00:00:00Z
MZ863371.1	B.1.617.2	USA: New Jersey	2021-07-29	Homo sapiens	29801	COMPLETE	2021-08-23T00:00:00Z
OU476016.1	B.1.1.7	Slovakia	2021-05-25	Homo sapiens	29890	COMPLETE	2021-08-10T00:00:00Z
OU533163.1	AY.4	United Kingdom:England	2021-07-24	Homo sapiens	29890	COMPLETE	2021-08-16T00:00:00Z
OQ762183.1	BA.1.15	USA: Nebraska	2022-01-10	Homo sapiens	29684	COMPLETE	2023-04-06T00:00:00Z
OQ869064.1	BQ.1.1	USA: Pennsylvania	2022-12-04	Homo sapiens	29749	COMPLETE	2023-04-25T00:00:00Z
OX468156.1	B.1.1.7	United Kingdom:England	2021-01-08	Homo sapiens	29884	COMPLETE	2023-04-29T00:00:00Z
OX472595.1	B.1.1.7	United Kingdom:England	2020-12-21	Homo sapiens	29886	COMPLETE	2023-04-29T00:00:00Z
OX476659.1	B.1.1.7	United Kingdom:Northern_Ireland	2021-04-28	Homo sapiens	29884	COMPLETE	2023-04-29T00:00:00Z
OX482043.1	BA.1.1	United Kingdom:Northern_Ireland	2022-01-18	Homo sapiens	29873	COMPLETE	2023-04-29T00:00:00Z
OX486586.1	AY.4	United Kingdom:Northern_Ireland	2021-06-29	Homo sapiens	29890	COMPLETE	2023-04-30T00:00:00Z
OX489820.1	AY.4	United Kingdom:Northern_Ireland	2021-10-18	Homo sapiens	29890	COMPLETE	2023-04-30T00:00:00Z
OY745436.1	HK.3	United Kingdom:England	2023-09-27	Homo sapiens	29894	COMPLETE	2023-10-10T00:00:00Z
OY752603.1	EG.9.1	United Kingdom:Scotland	2023-10-05	Homo sapiens	29847	COMPLETE	2023-10-27T00:00:00Z
BS005538.1	BA.5.2.1	Japan:Shizuoka, west	2022-08-14	Homo sapiens	29763	COMPLETE	2022-09-07T00:00:00Z
OP366557.1	BA.5.1.24	USA: California	2022-08-20	Homo sapiens	29718	COMPLETE	2022-09-06T00:00:00Z
OP371659.1	BA.5.1.15	USA: Texas	2022-08-20	Homo sapiens	29844	COMPLETE	2022-09-06T00:00:00Z
OP396597.1	AY.25	USA	2021-09-16	Homo sapiens	29741	COMPLETE	2022-09-09T00:00:00Z
OP402325.1	BA.4.1	USA: California	2022-08-28	Homo sapiens	29648	COMPLETE	2022-09-09T00:00:00Z
OP415835.1	BA.5.1	USA: Florida	2022-08-26	Homo sapiens	29718	COMPLETE	2022-09-12T00:00:00Z
OP424182.1	BF.10	USA: Rhode Island	2022-08-29	Homo sapiens	29687	COMPLETE	2022-09-13T00:00:00Z
OP448899.1	BA.2.12.1	USA: Texas	2022-09-01	Homo sapiens	29850	COMPLETE	2022-09-16T00:00:00Z
OP468636.1	BA.5.2.1	USA: New Hampshire	2022-09-03	Homo sapiens	29718	COMPLETE	2022-09-19T00:00:00Z
OP489717.1	BF.26	USA: Illinois	2022-09-06	Homo sapiens	29718	COMPLETE	2022-09-21T00:00:00Z
OP514253.1	BA.5.1.22	USA: South Carolina	2022-09-11	Homo sapiens	29718	COMPLETE	2022-09-23T00:00:00Z
OP523583.1	BA.5.2.28	USA: Illinois	2022-09-12	Homo sapiens	29718	COMPLETE	2022-09-26T00:00:00Z
OP554467.1	BA.2.3	USA: Virginia	2022-04-27	Homo sapiens	29752	COMPLETE	2022-09-29T00:00:00Z
OX313908.1	AY.121.1	Iceland	2021-12-09	Homo sapiens	29903	COMPLETE	2022-09-03T00:00:00Z
OX317514.1	BE.1.1	Slovakia	2022-08-07	Homo sapiens	29844	COMPLETE	2022-09-08T00:00:00Z
